University,Location,Combined,Undergraduates,Clinton Margin,Latitude,Longitude
Texas A&M University,"College Station, TX","Texas A&M University, College Station, TX","43,531",5,30.617595,-96.336544
Ohio State University,"Columbus, OH","Ohio State University, Columbus, OH","41,117",46,40.013771,-83.030668
Penn State,"State College, PA","Penn State, State College, PA","39,520",42,40.797873,-77.86008
Arizona State University,"Tempe, AZ","Arizona State University, Tempe, AZ","38,212",45,33.424025,-111.928133
University of Central Florida,"Orlando, FL","University of Central Florida, Orlando, FL","37,661",46,28.601834,-81.200511
University of Texas,"Austin, TX","University of Texas, Austin, TX","36,565",65,30.284974,-97.734711
Michigan State University,"East Lansing, MI","Michigan State University, East Lansing, MI","35,645",44,42.701556,-84.482236
Rutgers University,"New Brunswick, NJ","Rutgers University, New Brunswick, NJ","33,392",20,40.500639,-74.447346
University of Illinois,"Champaign, IL","University of Illinois, Champaign, IL","31,989",73,40.101665,-88.227269
Indiana University,"Bloomington, IN","Indiana University, Bloomington, IN","31,728",62,39.178114,-86.513315
California State - Northridge,"Northridge, CA","California State - Northridge, Northridge, CA","30,281",36,34.24042,-118.52749
University of Florida,"Gainesville, FL","University of Florida, Gainesville, FL","30,168",43,29.644839,-82.35481
University of Arizona,"Tucson, AZ","University of Arizona, Tucson, AZ","29,597",58,32.231837,-110.949196
Florida State,"Tallahassee, FL","Florida State, Tallahassee, FL","29,185",25,30.441516,-84.29805
University of Minnesota - Twin Cities,"Minneapolis, MN","University of Minnesota - Twin Cities, Minneapolis, MN","29,168",53,44.973454,-93.230015
University of California - Los Angeles,"Los Angeles, CA","University of California - Los Angeles, Los Angeles, CA","29,004",81,34.069393,-118.4451
Iowa State University,"Ames, IA","Iowa State University, Ames, IA","28,771",20,42.026627,-93.645871
University of Alabama,"Tuscaloosa, AL","University of Alabama, Tuscaloosa, AL","28,689",-10,33.213726,-87.53974
Purdue University,"West Lafayette, IN","Purdue University, West Lafayette, IN","28,682",27,40.423315,-86.921233
University of Wisconsin,"Madison, WI","University of Wisconsin, Madison, WI","28,555",63,43.077029,-89.41187
University of Washington,"Seattle, WA","University of Washington, Seattle, WA","28,377",78,47.655073,-122.303883
California State University - Long Beach,"Long Beach, CA","California State University - Long Beach, Long Beach, CA","27,829",70,33.783274,-118.114092
Liberty University,"Lynchburg, VA","Liberty University, Lynchburg, VA","27,671",-81,37.350479,-79.180742
University of California - Davis,"Davis, CA","University of California - Davis, Davis, CA","27,453",74,38.537903,-121.761808
Brigham Young University,"Provo, UT","Brigham Young University, Provo, UT","27,339",-12,40.250597,-111.648806
